1	Taagken qilagami sangwaa saghiighanapiglleghhii aliightuq liigikusighqaghput piyaghqamun: Aghnaq pilugugluni siqineghmeng, itegii tanqikun nekeglluteng, naasqumikun qaghpaluni qula maalghuk siipneqluku ighaleqetaaghneng.
2	Qumilguftuq, ighniyugem aqnighqelluku lliighaa, aanaqellghan taghnughhaam araghqaa.
3	Taagken qilagami sangwaa ilanga saghiighanapiglleghhii aliightuq liigikusighqaghput apeghiighnaqelghiimun: Taawa kavilnguq dragon-eghllak, maaghraghvinlek naasqulek, qula sighunelek, enkaam qamaglluteng naasqwi qaghpalgututeftut.
4	Papegmineng saqipgutii nunamun pingayughqellghi qilagam ighaleqetaaghi. Taagken dragon-a nekevegkaq manungakun aghnam neghnaluku taghnughhaa ighniighesnaqagu.
5	Aghnaq ighnenguq, igleghusaghqii qamagtengngwaaghluki nunam yugi iron-meng anagutalighluni. Iwernga aghnam taghnughhaa akuqaghluku aglaataat Kiyaghneghmun, umiilgusigkenunllu aqumutagnun.
6	Aghnaq qimagtuq kilgaanun. Tamaani Kiyaghneghem yataaghqutkaqegkanga nekaghqameng, aflengaksaghqaqegkangat 1,260 aghneghet.
7	Taagken qilagmi pillugutut. Michael-enkut yaqulkullghiit pilluwaghaat dragon-a. Dragon-enkut yaqulkullghiit pilluwaghiit Michael-enkut yaqulkullghiit,
8	iwernga Michael-enkut kayaalqaat dragon-a. Enkaam dragon-enkut yaqulkullghiit qilagmesaghqaananightut.
9	Qilagmeng miluutaat dragon-eghllak. (Neghightaluk nemeghyaq aatgha Tughneghaq, nalighmeng Tughneghaq, puughqughtenga nunam yugan.) Miluutaat nunamun yaqulegtuumaan.
10	Taagken nagaqughaqa ma iglagtuluni qilagmeng pilghii, “Whaa kaasimaat Kiyaghneghem yugulighillgha, aghtughyaghqaanghillgha, ataneghpagullghallu, Christ-anganllu aghtughyaghqaanghillgha. Salin Tughneghaq miluutellghilluku qilagmeng, aghneghtuumaan unugtuumaan anaggutnganiiqii ugpeqaalguteput Kiyaghneghmun.
11	Ugpeqaalgutemta kayaalqumaat aawakun Penniighaghaam, ungipaqelleghmegteggunllu Kiyaghneghem ipapighqellgha. Talwa tuquyaghngaaghmeng ayuqut Christ-a apalluqluku.
12	Enkaam qamagllusi kiyaghlleghhiini qilagmi, quyateghllagtek! Iwernga seghleghwaaghunaqnguusi nunamelngughnillu kelliinilngughnillu! Tughneghaam ukigvikumiisi, sakriteghllaguuq qayughllak liisimakaa pilleghqiighusaghtughtuq.”
13	Dragon-em liigiksamigu nunamun miluutelleni, malighqaghaa aghnaq ighnengegkaq.
14	Iwernga aghnaq tuunegkaat qawaagpagrugllagem yaqugkeneng tengaasqelluku kilgaanun. Tamaani paqniillequq nemeghyameng, aflengakelleqaatlu pingayut ayumiqullghet, aghvinlek tanqit ilalluki.
15	Taagken nemeghyam ughyuutaa meq kiiwestun ayuqelghii aghnaq maaqutesqelluku.
16	Iwernga nunam kayusiitaa aghnaq. Nunam agitaghulluku tuuftaa meghllak dragon-em ughyuutkaa.
17	Taagken dragon-em ugumiyaguteghllagluku aghnaq, enkaam pilluwaghyaghtughii qamaglluki ilangi kingunghi. Tamaakunguut qaatkutngalghiit Kiyaghneghem qelghusiitnun, ataasiighmelnguutlu ipalleghmun apeghtuusaqegkaanun Jesus-em.
18	Taagken dragon-a nekevuq kelliim esnaakun.
 
