1	Aghvinlek aghneq atughluku, Jesus-em kelqegkii Peter, James-enkuklu, John-enkuk, anglegutkullghiik, mayuutkii uusqalghiimun naayghamun ellnginiita.
2	Iiyngitneng taagken Jesus allangughtekaq: gginaa kuukgutkaq siqineghtun, aatkiillu qateghrakguughtekat nighugestun.
3	Taagken maligsaaghtet esghaqagket Moses-enkuk Elijah-nkuk aliighlutek aleghquqangak Jesus.
4	Enkaam Peter-em pikaa Jesus, “Ataneq, itagnapigtuq whaantelleghput! Piyukelqegkuvgu nekeflangi pingayut azigutat, elpenunllu, Moses-munllu, Elijah-munllu.”
5	Salin akuzimaluku, qilagwaaghem nighugrakegtam saapegkii, enkaam qilawaaghmeng mem pikii, “Una Ighneqaqa, piniqepigtaqa, efquqepigtaqa, nagataqiteggu!”
6	Maligsaaghtet nagalluku ma, alingruughem angtalanganeng niinghutkat nunamun.
7	Taagken Jesus-em takuluki saafluki, pikii, “Nekevitek, alingegpenasi!”
8	Sivugsalghiimeng Jesus-nginaghhaq esghaqaat.
9	Ukigutkelluku naayghameng Jesus-em ineghtengngwaaqii, “Kitumun alngunak apeghyaqunaan esghaghwaalleq pinakesi kenlanga Ighnegha Yugem unguvaghtekan tuqulleghmeng.”
10	Taagken maligsaaghtet aaptekaat Jesus, “Sangan apeghtughistengita Liilightuusat piiqatgu Elijah sivukluni tagipestaaghyaghqaaniluku?”
11	Jesus-em kiimsiqii, “Ipa Elijah tagipestaaghyaghqaaguq, enkaam sangwaa qamagtengngwaaghluku nallghusanqiglleqaa.
12	Iwernga ungipaatamsi Elijah tagingwaaqaaguq, iwernga yuget kinangutanga nallukegkaqaat, piyukelleghmegestunllu pikaqaat. Tawateghpigaq Ighnegha Yugem ikfiqesleqaat.”
13	Taagken maligsaaghtet liigikegkaat John Paaptaayesta akuzitkaqeftaa.
14	Yulghuteghllagnun uteghnighyata, yugem takuluku Jesus, aga segesqughtengnginaamaghmi manungakun pikaq.
15	Pikaa, “Ataneq, ighneqa nangllegyagutaghtigu! Sayugpagtalguuq, elngaatall ikfiqnguuq. Awen kenghegnun uullghaghtaquq nalighmeng meghquutaquq.
16	Maligsaagtegpenun tagisaghaqa, iwernga naallghutepagningitkaat.”
17	Jesus-em pikii, “Elpesi yugni, ugpeqillghitusillu, seghleghwaaghuusillu! Naten tagkaan elpesininnaqsinga ugpeqesqellunga? Mekelghiiq whavek tagiteggu!”
18	Jesus-em aghyuuqaa tughneghaq, taagken aanegkaq mekelghiighmeng enkaam tawaninginaq naallghutkaq mekelghiiq.
19	Taagken Jesus ellnginaaghsan maligsaagtengita takuluku aaptekaat, “Sangan whangkuta aanesneghmeng aghtughesteggu tughneghaq?”
20	Jesus-em kiimsiqii, “Qayughllak ugpeqilleghqestaaghhaalghiisi. Ipa ungipaatamsi, ugpeqillelguyaqufsi mustard-em piitutesqughhan angtalngatun, una naayghaq pikufsigu, ‘Ingavek nuugten!’ nuuggnayaghtuq. Enkaam sangwaa alngunak aghtughnayanghitaghsi!”
21	Iwernga tawatelnguq tughneghaq yughaghhiinaghqunllu, fast-elleghqunllu aanesaghqaqaghsi.
22	Maligsaaghtet qerngughusata Galilee-mi Jesus-em pikii, “Ighnegha Yugem tuguluku tuunelleqaat yugnun,
23	enkaam tuqulleqaat. Iwernga pingayiitangani aghneghem unguvaghtesaghqaaguq.” Taagken maligsaaghtet qivghughllakat.
24	Taagken Jesus-enkut maligsaaghtekullghiit Capernaum-emun tagiyata, Temple-em tax-meng qerngughtistengita takuluku Peter aaptekaat, “Apeghtughistezi Temple-em tax-nganeng llivikiiqaa?”
25	Peter-em kiimsiqii, “Aa-a, piiquq.” Peter iteghyan mangteghamun Jesus-em aleghqughyuwhaaqaa, “Simon, nateta elpek sumeghpeni? Kinkungwaaqat nunat umiilgita llivikistaqegkangit allaaghhiinaghmeng tax-emeng? Nunalgutmeggneng piiqaat nalighmeng nakumiineng?”
26	Peter-em kiimsiqaa, “Nakumiineng.” Jesus-em pikaa, “Enkaam umiilget yugit llivikinaanghitut.
27	Iwernga seghleghyugsunghitapung tax-meng qerngughtistet. Enkaam nulughyaa naayvamun iqallugtaqsuggaaghpek qaanghani naalkelleqan mani. Tuguluku llivikusaghtughnakefkung.”
 
